"item","Feature","vars","n","Importance","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","LB","UB"
"72","RemedialCrs",1,18,2.88076510443162,2.22681738807521,2.9714285714286,2.77420288057462,2.19003870612116,0,7.46652579057519,7.46652579057519,0.372087953993191,-0.767548029115687,0.524865891857366,1.85202795639118,3.90950225247206
"57","P_MiscSchlr",1,18,2.67640075298434,6.94395669783692,0.566335121518876,1.1424767922622,0.769786557799797,0,29.895584877523,29.895584877523,3.32167127898487,10.1261494124209,1.63670628976874,-0.531543574962398,5.88434508093108
"42","P_BRR",1,18,2.54643179468568,4.08132574958531,1.02857142857139,1.88744140944178,0.951295843817418,0,15.6367097532737,15.6367097532737,1.98863154141075,3.24752231056249,0.961977704587682,0.66095549369382,4.43190809567753
"53","P_FAS",1,36,2.51816765750654,2.48831210275912,2.07166257335409,2.26566330976342,2.26177869271508,0,8.24626155582974,8.24626155582974,0.777602631771428,-0.583442767016157,0.414718683793186,1.7053190372719,3.33101627774119
"48","P_ECP",1,27,2.38410295627771,4.83989011242338,0.342857142857102,1.45644072188179,0.499897049359171,0,19.6085073205818,19.6085073205818,2.14288940942711,3.91164101265872,0.931437286418616,0.558485874897221,4.2097200376582
"60","P_REV",1,36,2.37307739023683,2.56820869436129,1.82857142857144,1.88496978083804,1.2964150721023,0,11.3521835677675,11.3521835677675,1.88983171484096,3.4922418069821,0.428034782393549,1.53412921674548,3.21202556372819
"39","P_BCB",1,27,2.33643499138658,6.05364597995221,0.300763703775531,0.796501610201984,0.445912267217603,0,25.7569803923005,25.7569803923005,2.89368168533384,7.44980328933685,1.1650247120347,0.0529865557985594,4.61988342697459
"44","P_BSS",1,27,2.31384405822963,5.81546013733367,1.25714285714291,1.13742344821268,0.894381486590908,0,30.7061658642366,30.7061658642366,4.29721559585443,18.0547521571827,1.11918582525038,0.120239840738892,4.50744827572037
"22","GovtPrgmY",1,27,2.24404371376975,3.11535793766669,0.342857142857102,1.76538632624246,0.50831999999994,0,10.252325844347,10.252325844347,1.50184860442404,1.00260643146409,0.599550914644633,1.06892392106627,3.41916350647323
"43","P_BSP",1,18,2.23484125188856,4.72419036001324,0.339554556898038,1.39909308355759,0.503423586057031,0,17.8416531970727,17.8416531970727,2.20226943249013,4.02703855579167,1.11350234639383,0.0523766529566649,4.41730585082046
"55","P_FRD",1,27,2.1691374758788,3.80605054093863,0.571428571428533,1.51724810515902,0.834256828817921,0,12.9352404500301,12.9352404500301,1.67208933985823,1.33348347926297,0.73247476812008,0.733486930363443,3.60478802139416
"33","N_Hold",1,27,1.96584695517868,3.31698544236793,0.799999999999964,1.31694481366089,0.094310545320833,0,15.8279744989151,15.8279744989151,2.84583220453347,8.59974895096283,0.638354146016399,0.714672828986538,3.21702108137082
"62","P_ROR",1,18,1.63786887924485,2.7123326346858,0.37945048180419,1.33429103974401,0.562573284322892,0,8.13298319050326,8.13298319050326,1.52196707895632,0.731491696330696,0.639302932939968,0.384835130682516,2.89090262780719
"36","N_WriteOff",1,27,1.61800364520805,4.24129707632121,0.114285714285672,0.515519063766009,0.169439999999937,0,16.3337770768577,16.3337770768577,2.8187404249662,6.63115574654219,0.816238002909075,0.018177159506267,3.21783013090984
"32","N_FPW",1,27,1.53744851164526,2.59788196962238,0.79270482611763,1.0185869425984,0.349695824797951,0,10.4670178265842,10.4670178265842,2.36504299819671,4.34562466879754,0.499962618161452,0.557521780048818,2.51737524324171
"27","N_BKA",1,27,1.48230254808986,2.142583556322,1.02857142857139,1.08967871906721,0.757102502632226,0,8.12079113784673,8.12079113784673,2.05363565061616,3.03566219026496,0.412340397667924,0.67411536866073,2.29048972751899
"46","P_BVA",1,18,1.47943462993152,2.54116041347901,0.253798152971624,1.13052485537207,0.376281141595729,0,8.54142565281428,8.54142565281428,1.65858487272696,1.40455059868489,0.598957253484606,0.305478413101696,2.65339084676135
"50","P_EPS",1,27,1.23073367799433,2.44659052334943,0.457142857142861,0.746836458627996,0.653714860202326,0,11.6427605096413,11.6427605096413,2.96784443007466,9.37573641295326,0.470846565750861,0.307874409122647,2.15359294686602
"29","N_BPP",1,18,1.1256251546781,2.63155492374286,0.503795517283472,0.556912372750352,0.144327359620675,0,11.3506548202001,11.3506548202001,3.24667872353695,9.68484241866015,0.620263443881142,-0.0900911953289403,2.34134150468514
"40","P_BCR",1,18,0.874755674684329,1.93759447474882,0.138814017127133,0.536372566765413,0.205805661792687,0,7.16364107607131,7.16364107607131,2.36491577570807,4.26077580027042,0.456695397428159,-0.0203673042748627,1.76987865364352
